source,target,weight
bp__diastolic_(mmhg)_80,marraige_status_(yrs) (0-10),184
bp__diastolic_(mmhg)_80,no._of_aborptions_0,196
bp__diastolic_(mmhg)_80,prg(ng/ml) (0-28),250
bp__diastolic_(mmhg)_80,rbs(mg/dl) (60-157),251
bp__diastolic_(mmhg)_80,tsh_(miu/l) (0-22),249
bp__diastolic_(mmhg)_80,vit_d3_(ng/ml) (0-2005),251
bp__diastolic_(mmhg)_80,avg._f_size_(l)_(mm) (9-16),150
bp__diastolic_(mmhg)_80,prl(ng/ml) (0-43),231
bp__diastolic_(mmhg)_80,bmi (22-30),179
bp__diastolic_(mmhg)_80,hb(g/dl) (12-13),159
bp__diastolic_(mmhg)_80,waist(inch) (33-39),179
bp__systolic_(mmhg)_110,cycle(r/i) (2-4),155
bp__systolic_(mmhg)_110,follicle_no._(l) (0-7),158
bp__systolic_(mmhg)_110,fsh(miu/ml) (0-1684),176
bp__systolic_(mmhg)_110,fsh/lh (0-458),176
bp__systolic_(mmhg)_110,i___beta-hcg(miu/ml) (1-10821),173
bp__systolic_(mmhg)_110,ii____beta-hcg(miu/ml) (1-8334),175
bp__systolic_(mmhg)_110,lh(miu/ml) (0-673),177
bp__systolic_(mmhg)_110,prg(ng/ml) (0-28),176
bp__systolic_(mmhg)_110,rbs(mg/dl) (60-157),177
bp__systolic_(mmhg)_110,tsh_(miu/l) (0-22),177
bp__systolic_(mmhg)_110,vit_d3_(ng/ml) (0-2005),177
bp__systolic_(mmhg)_110,prl(ng/ml) (0-43),161
cycle(r/i) (2-4),cycle_length(days)_5,208
cycle(r/i) (2-4),endometrium_(mm) (7-12),251
cycle(r/i) (2-4),follicle_no._(l) (0-7),266
cycle(r/i) (2-4),fsh(miu/ml) (0-1684),307
cycle(r/i) (2-4),fsh/lh (0-458),307
cycle(r/i) (2-4),height(cm) (152-166),237
cycle(r/i) (2-4),i___beta-hcg(miu/ml) (1-10821),303
cycle(r/i) (2-4),ii____beta-hcg(miu/ml) (1-8334),306
cycle(r/i) (2-4),lh(miu/ml) (0-673),308
cycle(r/i) (2-4),marraige_status_(yrs) (0-10),227
cycle(r/i) (2-4),no._of_aborptions_0,244
cycle(r/i) (2-4),prg(ng/ml) (0-28),307
cycle(r/i) (2-4),rbs(mg/dl) (60-157),306
cycle(r/i) (2-4),tsh_(miu/l) (0-22),306
cycle(r/i) (2-4),vit_d3_(ng/ml) (0-2005),308
cycle(r/i) (2-4),weight_(kg) (31-57),151
cycle(r/i) (2-4),age_(yrs) (30-39),172
cycle(r/i) (2-4),avg._f_size_(l)_(mm) (9-16),178
cycle(r/i) (2-4),avg._f_size_(r)_(mm) (9-16),163
cycle(r/i) (2-4),bmi (22-30),214
cycle(r/i) (2-4),hb(g/dl) (12-13),195
cycle(r/i) (2-4),prl(ng/ml) (0-43),282
cycle(r/i) (2-4),waist(inch) (33-39),213
cycle(r/i) (2-4),weight_(kg) (58-82),153
cycle(r/i) (2-4),pulse_rate(bpm)_72,167
cycle(r/i) (2-4),rr_(breaths/min)_18,159
cycle_length(days)_5,endometrium_(mm) (7-12),167
cycle_length(days)_5,follicle_no._(l) (0-7),186
cycle_length(days)_5,fsh(miu/ml) (0-1684),213
cycle_length(days)_5,fsh/lh (0-458),213
cycle_length(days)_5,height(cm) (152-166),160
cycle_length(days)_5,i___beta-hcg(miu/ml) (1-10821),211
cycle_length(days)_5,ii____beta-hcg(miu/ml) (1-8334),212
cycle_length(days)_5,lh(miu/ml) (0-673),213
cycle_length(days)_5,marraige_status_(yrs) (0-10),161
cycle_length(days)_5,no._of_aborptions_0,169
cycle_length(days)_5,prg(ng/ml) (0-28),212
cycle_length(days)_5,rbs(mg/dl) (60-157),211
cycle_length(days)_5,tsh_(miu/l) (0-22),212
cycle_length(days)_5,vit_d3_(ng/ml) (0-2005),213
cycle_length(days)_5,prl(ng/ml) (0-43),197
endometrium_(mm) (7-12),follicle_no._(l) (0-7),249
endometrium_(mm) (7-12),fsh(miu/ml) (0-1684),292
endometrium_(mm) (7-12),fsh/lh (0-458),292
endometrium_(mm) (7-12),height(cm) (152-166),225
endometrium_(mm) (7-12),i___beta-hcg(miu/ml) (1-10821),287
endometrium_(mm) (7-12),ii____beta-hcg(miu/ml) (1-8334),290
endometrium_(mm) (7-12),lh(miu/ml) (0-673),292
endometrium_(mm) (7-12),marraige_status_(yrs) (0-10),219
endometrium_(mm) (7-12),no._of_aborptions_0,237
endometrium_(mm) (7-12),prg(ng/ml) (0-28),291
endometrium_(mm) (7-12),rbs(mg/dl) (60-157),290
endometrium_(mm) (7-12),tsh_(miu/l) (0-22),290
endometrium_(mm) (7-12),vit_d3_(ng/ml) (0-2005),292
endometrium_(mm) (7-12),age_(yrs) (30-39),161
endometrium_(mm) (7-12),avg._f_size_(l)_(mm) (9-16),173
endometrium_(mm) (7-12),avg._f_size_(r)_(mm) (9-16),164
endometrium_(mm) (7-12),bmi (22-30),206
endometrium_(mm) (7-12),hb(g/dl) (12-13),189
endometrium_(mm) (7-12),prl(ng/ml) (0-43),266
endometrium_(mm) (7-12),pulse_rate(bpm)_72,157
endometrium_(mm) (7-12),waist(inch) (33-39),200
endometrium_(mm) (7-12),rr_(breaths/min)_18,153
follicle_no._(l) (0-7),fsh(miu/ml) (0-1684),313
follicle_no._(l) (0-7),fsh/lh (0-458),313
follicle_no._(l) (0-7),height(cm) (152-166),236
follicle_no._(l) (0-7),i___beta-hcg(miu/ml) (1-10821),309
follicle_no._(l) (0-7),ii____beta-hcg(miu/ml) (1-8334),314
follicle_no._(l) (0-7),lh(miu/ml) (0-673),314
follicle_no._(l) (0-7),marraige_status_(yrs) (0-10),226
follicle_no._(l) (0-7),no._of_aborptions_0,249
follicle_no._(l) (0-7),prg(ng/ml) (0-28),314
follicle_no._(l) (0-7),rbs(mg/dl) (60-157),312
follicle_no._(l) (0-7),tsh_(miu/l) (0-22),312
follicle_no._(l) (0-7),vit_d3_(ng/ml) (0-2005),314
follicle_no._(l) (0-7),weight_(kg) (31-57),152
follicle_no._(l) (0-7),age_(yrs) (30-39),175
follicle_no._(l) (0-7),avg._f_size_(l)_(mm) (9-16),192
follicle_no._(l) (0-7),avg._f_size_(r)_(mm) (9-16),177
follicle_no._(l) (0-7),bmi (22-30),221
follicle_no._(l) (0-7),hb(g/dl) (12-13),199
follicle_no._(l) (0-7),prl(ng/ml) (0-43),289
follicle_no._(l) (0-7),waist(inch) (33-39),224
follicle_no._(l) (0-7),weight_(kg) (58-82),158
follicle_no._(l) (0-7),pulse_rate(bpm)_72,166
follicle_no._(l) (0-7),rr_(breaths/min)_18,164
fsh(miu/ml) (0-1684),fsh/lh (0-458),363
fsh(miu/ml) (0-1684),height(cm) (152-166),274
fsh(miu/ml) (0-1684),i___beta-hcg(miu/ml) (1-10821),356
fsh(miu/ml) (0-1684),ii____beta-hcg(miu/ml) (1-8334),361
fsh(miu/ml) (0-1684),lh(miu/ml) (0-673),363
fsh(miu/ml) (0-1684),marraige_status_(yrs) (0-10),265
fsh(miu/ml) (0-1684),no._of_aborptions_0,290
fsh(miu/ml) (0-1684),prg(ng/ml) (0-28),362
fsh(miu/ml) (0-1684),rbs(mg/dl) (60-157),361
fsh(miu/ml) (0-1684),tsh_(miu/l) (0-22),361
fsh(miu/ml) (0-1684),vit_d3_(ng/ml) (0-2005),363
fsh(miu/ml) (0-1684),weight_(kg) (31-57),172
fsh(miu/ml) (0-1684),age_(yrs) (30-39),198
fsh(miu/ml) (0-1684),avg._f_size_(l)_(mm) (9-16),213
fsh(miu/ml) (0-1684),avg._f_size_(r)_(mm) (9-16),201
fsh(miu/ml) (0-1684),bmi (22-30),259
fsh(miu/ml) (0-1684),bp__systolic_(mmhg)_120,169
fsh(miu/ml) (0-1684),hb(g/dl) (12-13),233
fsh(miu/ml) (0-1684),prl(ng/ml) (0-43),335
fsh(miu/ml) (0-1684),waist(inch) (33-39),257
fsh(miu/ml) (0-1684),weight_(kg) (58-82),186
fsh(miu/ml) (0-1684),pulse_rate(bpm)_72,189
fsh(miu/ml) (0-1684),rr_(breaths/min)_18,187
fsh/lh (0-458),height(cm) (152-166),274
fsh/lh (0-458),i___beta-hcg(miu/ml) (1-10821),356
fsh/lh (0-458),ii____beta-hcg(miu/ml) (1-8334),361
fsh/lh (0-458),lh(miu/ml) (0-673),363
fsh/lh (0-458),marraige_status_(yrs) (0-10),265
fsh/lh (0-458),no._of_aborptions_0,290
fsh/lh (0-458),prg(ng/ml) (0-28),362
fsh/lh (0-458),rbs(mg/dl) (60-157),361
fsh/lh (0-458),tsh_(miu/l) (0-22),361
fsh/lh (0-458),vit_d3_(ng/ml) (0-2005),363
fsh/lh (0-458),weight_(kg) (31-57),172
fsh/lh (0-458),age_(yrs) (30-39),198
fsh/lh (0-458),avg._f_size_(l)_(mm) (9-16),213
fsh/lh (0-458),avg._f_size_(r)_(mm) (9-16),201
fsh/lh (0-458),bmi (22-30),259
fsh/lh (0-458),bp__systolic_(mmhg)_120,169
fsh/lh (0-458),hb(g/dl) (12-13),233
fsh/lh (0-458),prl(ng/ml) (0-43),335
fsh/lh (0-458),waist(inch) (33-39),257
fsh/lh (0-458),weight_(kg) (58-82),186
fsh/lh (0-458),pulse_rate(bpm)_72,189
fsh/lh (0-458),rr_(breaths/min)_18,187
height(cm) (152-166),i___beta-hcg(miu/ml) (1-10821),271
height(cm) (152-166),ii____beta-hcg(miu/ml) (1-8334),274
height(cm) (152-166),lh(miu/ml) (0-673),275
height(cm) (152-166),marraige_status_(yrs) (0-10),198
height(cm) (152-166),no._of_aborptions_0,218
height(cm) (152-166),prg(ng/ml) (0-28),274
height(cm) (152-166),rbs(mg/dl) (60-157),274
height(cm) (152-166),tsh_(miu/l) (0-22),273
height(cm) (152-166),vit_d3_(ng/ml) (0-2005),275
height(cm) (152-166),avg._f_size_(l)_(mm) (9-16),161
height(cm) (152-166),bmi (22-30),191
height(cm) (152-166),hb(g/dl) (12-13),181
height(cm) (152-166),prl(ng/ml) (0-43),251
height(cm) (152-166),waist(inch) (33-39),194
height(cm) (152-166),weight_(kg) (58-82),155
i___beta-hcg(miu/ml) (1-10821),ii____beta-hcg(miu/ml) (1-8334),357
i___beta-hcg(miu/ml) (1-10821),lh(miu/ml) (0-673),357
i___beta-hcg(miu/ml) (1-10821),marraige_status_(yrs) (0-10),261
i___beta-hcg(miu/ml) (1-10821),no._of_aborptions_0,285
i___beta-hcg(miu/ml) (1-10821),prg(ng/ml) (0-28),356
i___beta-hcg(miu/ml) (1-10821),rbs(mg/dl) (60-157),355
i___beta-hcg(miu/ml) (1-10821),tsh_(miu/l) (0-22),355
i___beta-hcg(miu/ml) (1-10821),vit_d3_(ng/ml) (0-2005),357
i___beta-hcg(miu/ml) (1-10821),weight_(kg) (31-57),172
i___beta-hcg(miu/ml) (1-10821),age_(yrs) (30-39),198
i___beta-hcg(miu/ml) (1-10821),avg._f_size_(l)_(mm) (9-16),210
i___beta-hcg(miu/ml) (1-10821),avg._f_size_(r)_(mm) (9-16),198
i___beta-hcg(miu/ml) (1-10821),bmi (22-30),253
i___beta-hcg(miu/ml) (1-10821),bp__systolic_(mmhg)_120,168
i___beta-hcg(miu/ml) (1-10821),hb(g/dl) (12-13),229
i___beta-hcg(miu/ml) (1-10821),prl(ng/ml) (0-43),329
i___beta-hcg(miu/ml) (1-10821),waist(inch) (33-39),252
i___beta-hcg(miu/ml) (1-10821),weight_(kg) (58-82),180
i___beta-hcg(miu/ml) (1-10821),pulse_rate(bpm)_72,185
i___beta-hcg(miu/ml) (1-10821),rr_(breaths/min)_18,181
ii____beta-hcg(miu/ml) (1-8334),lh(miu/ml) (0-673),362
ii____beta-hcg(miu/ml) (1-8334),marraige_status_(yrs) (0-10),264
ii____beta-hcg(miu/ml) (1-8334),no._of_aborptions_0,289
ii____beta-hcg(miu/ml) (1-8334),prg(ng/ml) (0-28),361
ii____beta-hcg(miu/ml) (1-8334),rbs(mg/dl) (60-157),360
ii____beta-hcg(miu/ml) (1-8334),tsh_(miu/l) (0-22),360
ii____beta-hcg(miu/ml) (1-8334),vit_d3_(ng/ml) (0-2005),362
ii____beta-hcg(miu/ml) (1-8334),weight_(kg) (31-57),173
ii____beta-hcg(miu/ml) (1-8334),age_(yrs) (30-39),198
ii____beta-hcg(miu/ml) (1-8334),avg._f_size_(l)_(mm) (9-16),213
ii____beta-hcg(miu/ml) (1-8334),avg._f_size_(r)_(mm) (9-16),200
ii____beta-hcg(miu/ml) (1-8334),bmi (22-30),257
ii____beta-hcg(miu/ml) (1-8334),bp__systolic_(mmhg)_120,169
ii____beta-hcg(miu/ml) (1-8334),hb(g/dl) (12-13),232
ii____beta-hcg(miu/ml) (1-8334),prl(ng/ml) (0-43),334
ii____beta-hcg(miu/ml) (1-8334),waist(inch) (33-39),256
ii____beta-hcg(miu/ml) (1-8334),weight_(kg) (58-82),184
ii____beta-hcg(miu/ml) (1-8334),pulse_rate(bpm)_72,189
ii____beta-hcg(miu/ml) (1-8334),rr_(breaths/min)_18,186
lh(miu/ml) (0-673),marraige_status_(yrs) (0-10),266
lh(miu/ml) (0-673),no._of_aborptions_0,291
lh(miu/ml) (0-673),prg(ng/ml) (0-28),363
lh(miu/ml) (0-673),rbs(mg/dl) (60-157),362
lh(miu/ml) (0-673),tsh_(miu/l) (0-22),362
lh(miu/ml) (0-673),vit_d3_(ng/ml) (0-2005),364
lh(miu/ml) (0-673),weight_(kg) (31-57),173
lh(miu/ml) (0-673),age_(yrs) (30-39),198
lh(miu/ml) (0-673),avg._f_size_(l)_(mm) (9-16),214
lh(miu/ml) (0-673),avg._f_size_(r)_(mm) (9-16),201
lh(miu/ml) (0-673),bmi (22-30),259
lh(miu/ml) (0-673),bp__systolic_(mmhg)_120,169
lh(miu/ml) (0-673),hb(g/dl) (12-13),233
lh(miu/ml) (0-673),prl(ng/ml) (0-43),336
lh(miu/ml) (0-673),waist(inch) (33-39),258
lh(miu/ml) (0-673),weight_(kg) (58-82),186
lh(miu/ml) (0-673),pulse_rate(bpm)_72,190
lh(miu/ml) (0-673),rr_(breaths/min)_18,188
marraige_status_(yrs) (0-10),no._of_aborptions_0,225
marraige_status_(yrs) (0-10),prg(ng/ml) (0-28),265
marraige_status_(yrs) (0-10),rbs(mg/dl) (60-157),265
marraige_status_(yrs) (0-10),tsh_(miu/l) (0-22),264
marraige_status_(yrs) (0-10),vit_d3_(ng/ml) (0-2005),266
marraige_status_(yrs) (0-10),avg._f_size_(l)_(mm) (9-16),152
marraige_status_(yrs) (0-10),bmi (22-30),183
marraige_status_(yrs) (0-10),hb(g/dl) (12-13),172
marraige_status_(yrs) (0-10),prl(ng/ml) (0-43),245
marraige_status_(yrs) (0-10),pulse_rate(bpm)_72,151
marraige_status_(yrs) (0-10),waist(inch) (33-39),183
no._of_aborptions_0,prg(ng/ml) (0-28),290
no._of_aborptions_0,rbs(mg/dl) (60-157),290
no._of_aborptions_0,tsh_(miu/l) (0-22),290
no._of_aborptions_0,vit_d3_(ng/ml) (0-2005),291
no._of_aborptions_0,age_(yrs) (30-39),153
no._of_aborptions_0,avg._f_size_(l)_(mm) (9-16),168
no._of_aborptions_0,avg._f_size_(r)_(mm) (9-16),163
no._of_aborptions_0,bmi (22-30),206
no._of_aborptions_0,hb(g/dl) (12-13),187
no._of_aborptions_0,prl(ng/ml) (0-43),268
no._of_aborptions_0,waist(inch) (33-39),203
no._of_aborptions_0,rr_(breaths/min)_18,153
prg(ng/ml) (0-28),rbs(mg/dl) (60-157),361
prg(ng/ml) (0-28),tsh_(miu/l) (0-22),361
prg(ng/ml) (0-28),vit_d3_(ng/ml) (0-2005),363
prg(ng/ml) (0-28),weight_(kg) (31-57),173
prg(ng/ml) (0-28),age_(yrs) (30-39),198
prg(ng/ml) (0-28),avg._f_size_(l)_(mm) (9-16),213
prg(ng/ml) (0-28),avg._f_size_(r)_(mm) (9-16),200
prg(ng/ml) (0-28),bmi (22-30),258
prg(ng/ml) (0-28),bp__systolic_(mmhg)_120,169
prg(ng/ml) (0-28),hb(g/dl) (12-13),233
prg(ng/ml) (0-28),prl(ng/ml) (0-43),335
prg(ng/ml) (0-28),waist(inch) (33-39),257
prg(ng/ml) (0-28),weight_(kg) (58-82),185
prg(ng/ml) (0-28),pulse_rate(bpm)_72,189
prg(ng/ml) (0-28),rr_(breaths/min)_18,188
rbs(mg/dl) (60-157),tsh_(miu/l) (0-22),360
rbs(mg/dl) (60-157),vit_d3_(ng/ml) (0-2005),362
rbs(mg/dl) (60-157),weight_(kg) (31-57),172
rbs(mg/dl) (60-157),age_(yrs) (30-39),197
rbs(mg/dl) (60-157),avg._f_size_(l)_(mm) (9-16),213
rbs(mg/dl) (60-157),avg._f_size_(r)_(mm) (9-16),200
rbs(mg/dl) (60-157),bmi (22-30),258
rbs(mg/dl) (60-157),bp__systolic_(mmhg)_120,167
rbs(mg/dl) (60-157),hb(g/dl) (12-13),232
rbs(mg/dl) (60-157),prl(ng/ml) (0-43),334
rbs(mg/dl) (60-157),waist(inch) (33-39),257
rbs(mg/dl) (60-157),weight_(kg) (58-82),186
rbs(mg/dl) (60-157),pulse_rate(bpm)_72,188
rbs(mg/dl) (60-157),rr_(breaths/min)_18,187
tsh_(miu/l) (0-22),vit_d3_(ng/ml) (0-2005),362
tsh_(miu/l) (0-22),weight_(kg) (31-57),172
tsh_(miu/l) (0-22),age_(yrs) (30-39),197
tsh_(miu/l) (0-22),avg._f_size_(l)_(mm) (9-16),214
tsh_(miu/l) (0-22),avg._f_size_(r)_(mm) (9-16),199
tsh_(miu/l) (0-22),bmi (22-30),257
tsh_(miu/l) (0-22),bp__systolic_(mmhg)_120,167
tsh_(miu/l) (0-22),hb(g/dl) (12-13),232
tsh_(miu/l) (0-22),prl(ng/ml) (0-43),334
tsh_(miu/l) (0-22),waist(inch) (33-39),257
tsh_(miu/l) (0-22),weight_(kg) (58-82),185
tsh_(miu/l) (0-22),pulse_rate(bpm)_72,189
tsh_(miu/l) (0-22),rr_(breaths/min)_18,186
vit_d3_(ng/ml) (0-2005),weight_(kg) (31-57),173
vit_d3_(ng/ml) (0-2005),age_(yrs) (30-39),198
vit_d3_(ng/ml) (0-2005),avg._f_size_(l)_(mm) (9-16),214
vit_d3_(ng/ml) (0-2005),avg._f_size_(r)_(mm) (9-16),201
vit_d3_(ng/ml) (0-2005),bmi (22-30),259
vit_d3_(ng/ml) (0-2005),bp__systolic_(mmhg)_120,169
vit_d3_(ng/ml) (0-2005),hb(g/dl) (12-13),233
vit_d3_(ng/ml) (0-2005),prl(ng/ml) (0-43),336
vit_d3_(ng/ml) (0-2005),waist(inch) (33-39),258
vit_d3_(ng/ml) (0-2005),weight_(kg) (58-82),186
vit_d3_(ng/ml) (0-2005),pulse_rate(bpm)_72,190
vit_d3_(ng/ml) (0-2005),rr_(breaths/min)_18,188
weight_(kg) (31-57),prl(ng/ml) (0-43),156
age_(yrs) (30-39),prl(ng/ml) (0-43),183
prl(ng/ml) (0-43),avg._f_size_(l)_(mm) (9-16),197
prl(ng/ml) (0-43),avg._f_size_(r)_(mm) (9-16),183
prl(ng/ml) (0-43),bmi (22-30),245
prl(ng/ml) (0-43),bp__systolic_(mmhg)_120,158
prl(ng/ml) (0-43),hb(g/dl) (12-13),217
prl(ng/ml) (0-43),waist(inch) (33-39),239
prl(ng/ml) (0-43),weight_(kg) (58-82),175
prl(ng/ml) (0-43),pulse_rate(bpm)_72,177
prl(ng/ml) (0-43),rr_(breaths/min)_18,176
avg._f_size_(l)_(mm) (9-16),avg._f_size_(r)_(mm) (9-16),158
avg._f_size_(l)_(mm) (9-16),bmi (22-30),155
avg._f_size_(l)_(mm) (9-16),waist(inch) (33-39),166
avg._f_size_(r)_(mm) (9-16),waist(inch) (33-39),153
bmi (22-30),hb(g/dl) (12-13),164
bmi (22-30),waist(inch) (33-39),206
bmi (22-30),weight_(kg) (58-82),171
hb(g/dl) (12-13),waist(inch) (33-39),158
waist(inch) (33-39),weight_(kg) (58-82),159
